wl (m),n,k
0.000002849,1.721,4.53E-09
2.86E-06,1.72,4.77E-09
2.87E-06,1.72,4.79E-09
2.87E-06,1.72,4.57E-09
2.88E-06,1.72,4.59E-09
2.89E-06,1.72,4.60E-09
2.90E-06,1.72,4.61E-09
0.000002907,1.719,4.63E-09
2.92E-06,1.719,4.64E-09
0.000002924,1.719,4.65E-09
2.93E-06,1.718,4.67E-09
2.94E-06,1.718,4.68E-09
2.95E-06,1.718,4.93E-09
2.96E-06,1.718,4.94E-09
2.97E-06,1.717,4.96E-09
2.98E-06,1.718,4.74E-09
2.99E-06,1.718,4.75E-09
0.000002994,1.717,4.77E-09
0.000003003,1.717,5.02E-09
0.000003012,1.717,4.79E-09
3.02E-06,1.717,4.81E-09
3.03E-06,1.716,4.58E-09
3.04E-06,1.716,4.60E-09
3.05E-06,1.715,4.85E-09
3.06E-06,1.715,4.87E-09
3.07E-06,1.715,4.64E-09
3.08E-06,1.714,4.65E-09
3.09E-06,1.714,4.67E-09
0.000003096,1.713,4.93E-09
3.11E-06,1.713,4.70E-09
3.12E-06,1.712,4.71E-09
0.000003125,1.712,4.72E-09
3.13E-06,1.712,4.99E-09
3.14E-06,1.712,5.00E-09
3.15E-06,1.712,5.02E-09
3.16E-06,1.711,4.78E-09
3.17E-06,1.711,4.80E-09
3.18E-06,1.71,4.82E-09
3.19E-06,1.709,5.08E-09
3.21E-06,1.709,5.36E-09
3.22E-06,1.709,5.12E-09
3.23E-06,1.709,5.13E-09
3.24E-06,1.708,5.15E-09
3.25E-06,1.708,5.17E-09
3.26E-06,1.707,5.44E-09
0.000003268,1.707,5.20E-09
3.28E-06,1.707,5.22E-09
3.29E-06,1.706,5.24E-09
3.30E-06,1.706,5.25E-09
3.31E-06,1.706,5.53E-09
3.32E-06,1.705,5.55E-09
3.33E-06,1.705,5.57E-09
3.34E-06,1.705,5.32E-09
3.36E-06,1.704,5.34E-09
0.000003367,1.704,5.63E-09
3.38E-06,1.703,5.65E-09
3.39E-06,1.702,5.66E-09
3.40E-06,1.702,5.68E-09
0.000003413,1.702,5.70E-09
3.42E-06,1.701,6.00E-09
3.44E-06,1.701,6.29E-09
3.45E-06,1.701,6.31E-09
3.46E-06,1.701,6.06E-09
3.47E-06,1.701,6.08E-09
3.48E-06,1.701,6.10E-09
3.50E-06,1.7,6.12E-09
3.51E-06,1.7,6.14E-09
3.52E-06,1.7,6.16E-09
3.53E-06,1.699,5.91E-09
3.55E-06,1.699,5.93E-09
3.56E-06,1.699,5.95E-09
3.57E-06,1.698,5.97E-09
3.58E-06,1.698,5.99E-09
3.60E-06,1.697,5.72E-09
3.61E-06,1.697,5.75E-09
3.62E-06,1.696,5.77E-09
3.64E-06,1.695,5.79E-09
3.65E-06,1.694,5.81E-09
0.000003663,1.694,5.54E-09
3.68E-06,1.693,5.56E-09
0.00000369,1.692,5.58E-09
3.70E-06,1.692,5.89E-09
3.72E-06,1.691,5.92E-09
3.73E-06,1.69,5.94E-09
3.75E-06,1.69,5.66E-09
3.76E-06,1.689,5.68E-09
3.77E-06,1.688,6.31E-09
3.79E-06,1.687,6.33E-09
3.80E-06,1.687,6.05E-09
3.82E-06,1.686,6.07E-09
3.83E-06,1.685,6.10E-09
3.85E-06,1.684,6.43E-09
0.000003861,1.684,6.45E-09
3.90E-06,1.683,6.51E-09
3.89E-06,1.683,6.50E-09
3.91E-06,1.682,6.22E-09
3.92E-06,1.681,6.24E-09
0.000003937,1.68,6.58E-09
3.95E-06,1.679,6.61E-09
3.97E-06,1.678,6.63E-09
3.98E-06,1.677,6.34E-09
0.000004,1.676,6.68E-09
4.02E-06,1.676,7.03E-09
4.03E-06,1.675,7.38E-09
4.05E-06,1.674,7.41E-09
0.000004065,1.674,7.12E-09
4.08E-06,1.673,7.15E-09
4.10E-06,1.672,7.50E-09
4.12E-06,1.672,7.86E-09
4.13E-06,1.671,7.89E-09
4.15E-06,1.67,7.59E-09
4.17E-06,1.67,7.63E-09
4.18E-06,1.669,7.99E-09
4.20E-06,1.668,8.02E-09
4.22E-06,1.667,8.06E-09
4.24E-06,1.667,8.09E-09
4.26E-06,1.666,7.79E-09
4.27E-06,1.665,7.82E-09
4.29E-06,1.664,8.20E-09
4.31E-06,1.663,8.23E-09
0.000004329,1.662,7.92E-09
4.35E-06,1.66,7.96E-09
4.37E-06,1.659,7.99E-09
0.000004386,1.658,8.38E-09
4.41E-06,1.657,8.76E-09
4.42E-06,1.656,8.80E-09
